title,text,tags
10/07/2021,this is the body with a link back to the [[Calendar]],Date
11/07/2021,this is the body with a link back to the [[Calendar]],Date
13/07/2021,this is the body with a link back to the [[Calendar]],Date
14/07/2021,this is the body with a link back to the [[Calendar]],Date
22/07/2021,this is the body with a link back to the [[Calendar]],Date
24/07/2021,this is the body with a link back to the [[Calendar]],Date
30/07/2021,this is the body with a link back to the [[Calendar]],Date
A Matter of Honour or Blood,"When you cross swords for honour, roll +STR or +DEX.

* 10+, hold 3
* 7-9 hold 2 and the enemy gains a touch on you. 
*On a 6-, choose one of the following: 
** You took the enemy's normal damage roll, and lost the duel.
** You dealt your normal damage roll, and offend some witness for not showing restraint.

You may spend hold on the following:

* Draw a small amount of blood, dealing 1 point of damage (2 hold).
* Avoid the enemy's strikes (1 hold)
* Touch the opponent without drawing blood (sometimes duels are to a certain number of touches, rather than blood)
",Move
"A snake, a snake, Oooh, it's a snake!","//When you slither and hiss angrily// and spend 1 hold roll +Cha

* 12+ - Even the brave and the stupid are wary and will avoid you if they can.
* 10-11 - Only the brave and the stupid will engage you in melee.
* 7-9 - The Intelligent know you are bluffing, enemies of less than human intelligence will avoid you in melee.
* 6- It did not work, and now they know you are not that scary, take a -1 moving forward to THIS MOVE against the same targets. GM Move.",Move Snake Wildlife
Abernath,,Xavier Castle Urban Principal
Acolytes of the Great Flame,"have infected the [[Empire of Anligit]]

<$list filter=""[tag[Acolytes of the Great Flame]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Organisation Cobehot [[God's Foothills]] [[Empire of Anligit]] Cult
Alkonna,,Town [[Confederacy of the Larne]] Urban Cobehot
Altanaza,on the coast,[[Empire of Zantera]] Urban Town Lenara
Amphibious,//When you plunge beneath the water// and spend 1 hold - As [[Drowning]] except you are always considered to have taken a deep breath.,Move Wildlife
Anallate Castle,on the Western side of the Southern island of [[Lenara]],Castle Lenara Urban [[Empire of Zantera]]
Ancient Necromancer,,Character Kemzemkex
Anglemarr,,Forest Lenara Geography
Anglit-oku,found on the eastern edge of the large island near the Savanna [[Peninsula Plains]],Town Urban Gronzezzeg Cobehot
Anti-Onuk Alliance,"Driven out by the Onuk Bandits

!!! Urban Locations
<$list filter=""[tag[Anti-Onuk Alliance]tag[Urban]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Population <$view field=""population""/>)<br/>
</$list>",[[Minor Faction]]
Arlinia,"""""""Also known as [[Zanova]]

Settlers left the [[Empire of Zantera]] and settled on the other side of the island of [[Lenara]] and claimed their independence. Consequently they dont get on great with the [[Empire of Zantera]]. They were attacked by the [[Empire of Zantera]] which further damaged their relationship. (Now ""Very Hostile"").""""""",Town Lenara Urban [[Zanteran Republic]]
Arpetula Desert,Northen desert on the smaller of the two islands,Desert Geography Cobehot
Backbiter,"A Dagger <<GMNote ""that deals an extra +1D4 if the opponent is unaware of the attack, On a -6 or lower, you also take 1D4 damage ignoring armour. Looking into the items history will reveal that it was created for an assassination attempt against an powerful emperor, as the emperor died, he cursed the assassin as well as the blade and the curse remains to this day."">>",Object
Balvar Muzrald," older man (human) who favours his muscle more than his magic, completely disagrees with the 'cult of flames' (evil nature) large muscle hairy ugly hoomi",Character
Bay,"<$list filter=""[tag[Bay]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Bay of Narlon,"The Bay of Narlon is a vast expanse of tranquil blue waters, encompassing the [[River Rath]], [[River Larne]], and the surrounding areas. The mouth of the [[River Rath]] is home to the Halfling village of [[Silverfin]], while the mouth of the [[River Larne]] is home to [[Silverlight]], the capital city of the Halflings. Further along the bay lies the town of [[Anglit-oku]], home to a thriving Kobold population, and in the other direction is the Halfling's castle, [[The Overlook]]. 

The Bay of Narlon is renowned for its abundant marine life, and has long been a favored fishing spot for locals and visitors alike. Its clear waters provide a home to multiple varieties of fish, and its serene beauty brings joy to all who visit it. Filled with both natural beauty and bustling with activity, the Bay of Narlon is a sight to behold.",Bay Cobehot Geography
Beth,Northern Coast,Urban Town Xavier Principal
Breeonel,"on the southern coast of the southern island of [[Lenara]], was annexed by [[Empire of Zantera]].  Even split pop of Humans and Elves (stratified with elves above)",Lenara Town Urban [[Empire of Zantera]]
Brjaam Orhim,Town found on is island of [[Principal]] on the shore of [[Hlegu Brjaam]] is in the [[League of Glang]],Town Principal Urban [[League of Glang]]
Calendar,"<<simplecalendar mycalendar yearState:""MyStateTiddler!!year"" monthState:""MyStateTiddler!!month"" startingDay:""0"">>

<$list filter=""[tag[Date]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Calendar
Calendar Setup,"The Calendar was originally taken from [[here|http://simplecalendar.tiddlyspot.com/]]

You can Draw a Calendar like this;

<<simplecalendar mycalendar yearState:""MyStateTiddler!!year"" monthState:""MyStateTiddler!!month"" startingDay:""0"">>

You can find the list of files in the plugin [[here|$:/plugins/frd/simplecalendar]]

To change the Names of the Days of the Week or the Names of the Months, go [[Here|$:/plugins/frd/simplecalendar/CalendarConfigDefault]] its currently locked to 7 day's a week and 12 months a year.

Month Lengths can be found [[Here|$:/plugins/frd/simplecalendar/simplecalendarUtils.js]] along with Leap year stuff

Formatting of the Calendar (like highlighting the weekends) is done by click on the very small button on the bottom left (bottom right opens the help)

",Calendar
Canyon,"<$list filter=""[tag[Canyon]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Canyons of Cobeham,Found on the island of [[Cobehot]] on either side of the [[River Latch]] as it exists out to the sea.,Canyon Geography Cobehot
Cas Kesmick,"young girl (human) timid and fearful wanting to be with family not ever be a wizard, brown hair and tall (everyones tall to a goblin)",Character
Castle,"<$list filter=""[tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Cellaa Orhim,"On the moth of the river [[Zellaam]], they generally enjoy smoked fish.",[[League of Glang]] Principal Town Urban
Character,"{{Player}}

!!! NPC's
<$list filter=""[tag[Character]!tag[Player]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
City of the Goddess,"Was previously the population of [[Marbledell]], the cultists hit a critical mass and abandoned [[Marbledell]] to form here. Upgraded to City.",Cobehot Urban [[The Ecclesiocracy of Flame]] City [[Acolytes of the Great Flame]]
Cobehot,"South West.

!!! Geography
<$list filter=""[tag[Cobehot]tag[Geography]tag[Bay]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Bay)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Savanna]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Savanna)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Swamp]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Swamp)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Hills]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Hills)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Lake]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Lake)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[River]]+[sort[]]"">
<$link><$view field=""title""/></$link> (River)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Forest]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Forest)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Mountain Range]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Mountain Range)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Desert]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Desert)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Jungle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Jungle)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Canyon]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Canyon)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Geography]tag[Volcano]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Volcano)<br/>
</$list>

!!! Urban
<$list filter=""[tag[Cobehot]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village)<br/>
</$list>
<$list filter=""[tag[Cobehot]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle)<br/>
</$list>

!!! Misc
<$list filter=""[tag[Cobehot]!tag[Urban]!tag[Geography]]+[sort[]]"">
<$link><$view field=""title""/></$link> Tagged with: <$view field=""tags""/><br/>
</$list>",Island
